公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投<br>資比率(%),year,market,出表日期,資料年月,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
9946,三發地產,41.99,11245.2,415.55,134.36,1518.11,21.24,17.18,0.35,1042.85,19.24,0.44,14.45,26.69,52.51,31.27,5.28,143.26,261.57,42.56,108,上市,,,,,,,,,,,,,
9955,佳龍,41.5,117.79,129.49,48.01,1.64,53.70,6.79,2.30,158.69,0.85,0.56,0.75,0.59,0.99,0.59,0.1,31.54,65.32,8.21,108,上市,,,,,,,,,,,,,
9958,世紀鋼,49.96,230.05,170.11,102.82,12.31,2.37,154.00,1.02,357.84,0.67,0.22,6.94,13.18,36.4,28.81,3.53,-5.14,25.27,-2.57,108,上市,,,,,,,,,,,,,
1101,台泥,43.82,344.59,172.4,160.92,20.59,2.87,127.17,9.55,38.21,1.26,0.3,7.78,13.1,58.82,24.48,4.32,43.38,85.4,3.55,109,上市,,,,,,,,,,,,,
1102,亞泥,42.82,441.23,135.92,125.61,21.75,4.05,90.12,7.63,47.83,1.51,0.26,6.63,11.07,71.83,23.99,4.7,30.64,172.32,3.79,109,上市,,,,,,,,,,,,,
1103,嘉泥,38.45,606.96,385.43,380.09,1387.47,8.41,43.40,18.77,19.44,0.32,0.05,4.96,7.55,27.18,89.29,2.74,17.45,15.7,0.0,109,上市,,,,,,,,,,,,,
1104,環泥,22.06,304.0,115.7,106.75,42.32,4.00,91.25,16.50,22.12,0.84,0.22,5.43,6.83,19.85,23.21,1.91,26.72,77.47,1.26,109,上市,,,,,,,,,,,,,
1108,幸福,41.99,264.22,244.47,72.19,14.91,4.56,80.04,1.08,337.96,2.04,0.56,5.44,8.74,10.98,8.66,0.97,38.68,68.15,4.74,109,上市,,,,,,,,,,,,,
1109,信大,19.22,325.78,303.94,261.67,981.76,3.29,110.94,5.78,63.14,2.52,0.66,12.61,15.95,61.95,19.08,2.94,99.31,352.53,13.16,109,上市,,,,,,,,,,,,,
1110,東泥,13.35,3423.62,271.27,114.7,221.29,3.91,93.35,1.98,184.34,6.69,0.16,0.22,0.2,0.13,1.07,0.04,15.29,-9.87,0.84,109,上市,,,,,,,,,,,,,
1201,味全,61.98,126.51,96.23,73.9,461.39,7.05,51.77,10.29,35.47,1.94,1.0,3.54,7.77,10.73,2.87,1.06,30.69,62.11,5.3,109,上市,,,,,,,,,,,,,
1203,味王,32.35,265.14,272.59,178.5,66.74,12.76,28.60,2.59,140.92,2.01,0.64,7.52,11.07,39.22,11.48,1.81,69.6,143.0,6.29,109,上市,,,,,,,,,,,,,
1210,大成,46.05,176.85,111.21,60.2,17.62,13.23,27.58,7.17,50.90,4.99,1.65,8.68,15.6,60.24,4.99,3.99,30.59,97.77,19.47,109,上市,,,,,,,,,,,,,
1213,大飲,57.29,104.31,48.51,39.06,-1.06,4.99,73.14,10.78,33.85,0.55,0.32,-1.22,-4.96,-5.4,-6.65,-0.48,-0.79,-269.55,-0.3,109,上市,,,,,,,,,,,,,
1215,卜蜂,55.32,125.79,97.41,67.25,24.64,10.25,35.60,12.75,28.62,2.26,1.16,8.91,18.89,76.47,7.39,6.18,40.95,57.62,7.44,109,上市,,,,,,,,,,,,,
1216,統一,63.54,228.76,103.52,77.08,1668.56,24.58,14.84,7.50,48.66,3.05,0.92,6.73,17.37,67.65,6.89,3.79,38.02,158.94,11.42,109,上市,,,,,,,,,,,,,
1217,愛之味,48.59,306.0,63.88,39.14,3.50,7.60,48.02,4.49,81.29,1.55,0.35,2.65,4.23,6.27,5.4,0.47,14.16,73.18,4.03,109,上市,,,,,,,,,,,,,
1218,泰山,23.9,437.04,234.04,167.54,63.88,7.48,48.79,10.42,35.02,4.76,0.9,9.34,12.49,18.12,10.19,1.75,29.77,33.08,-0.3,109,上市,,,,,,,,,,,,,
1219,福壽,47.8,156.54,206.63,128.13,16.99,8.94,40.82,6.35,57.48,3.18,1.41,6.85,13.55,20.98,4.59,1.91,40.99,77.15,6.87,109,上市,,,,,,,,,,,,,
