sid,name,market,產業,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
8210,勤誠,上市,電腦及週邊設備業,12.72,12.32,9.61,10.75,16.19,20.11,10.09,12.1,12.62,13.49,10.5,16.31,15.38,13.73,15.51,15.31,16.62,11.28,8.31,13.52,9.21,8.56,13.63,17.76,16.68,15.07,17.26,16.83,9.39,14.83,13.61,11.82,9.05,10.87,10.52,7.07,7.31,10.76,14.4,9.53
1210,大成,上市,食品工業,1.17,-0.48,1.67,1.23,1.96,1.95,0.92,0.29,1.06,1.33,2.86,2.61,3.99,3.07,3.43,3.97,4.28,3.15,4.01,4.37,3.42,2.96,3.09,3.09,3.71,4.41,5.64,5.27,4.5,5.68,6.49,4.07,3.85,1.64,1.21,2.78,2.52,2.77,2.48,3.01
1219,福壽,上市,食品工業,-1.72,-1.0,-0.17,1.93,1.54,0.03,-0.31,2.25,0.94,-0.61,0.97,1.15,1.23,1.52,0.25,-0.15,-0.02,-1.67,0.39,1.53,2.01,0.65,-5.37,-0.2,0.64,0.52,0.73,-0.74,0.17,2.47,4.42,3.55,6.38,1.33,-1.04,1.41,5.42,3.21,-1.5,0.14
1220,台榮,上市,食品工業,3.16,-0.89,4.77,-2.99,3.57,1.64,0.65,-1.31,-1.52,3.16,6.85,5.19,6.41,8.1,5.16,2.16,3.54,2.5,4.64,1.97,3.01,6.94,2.55,3.74,2.21,6.23,8.12,6.92,7.15,5.62,8.68,9.56,11.94,9.6,3.81,3.76,5.17,3.1,-1.54,0.81
1232,大統益,上市,食品工業,4.31,3.77,2.85,4.18,5.63,3.65,2.76,7.79,6.17,5.47,5.99,5.67,5.92,7.6,5.8,6.04,5.44,5.78,6.59,6.23,6.2,6.35,5.74,7.88,8.89,6.25,6.67,6.93,8.04,8.26,9.76,10.67,11.64,7.42,3.43,7.43,10.3,7.65,1.15,5.2
1256,鮮活果汁-KY,上市,食品工業,16.97,18.22,19.17,15.0,20.03,20.84,19.07,12.35,14.13,17.4,14.11,6.98,10.86,17.21,16.89,8.52,12.84,17.4,18.94,8.66,14.08,19.74,23.41,14.45,16.56,24.1,24.17,17.62,6.53,29.11,35.22,25.49,26.12,27.66,23.76,-0.91,8.54,11.2,17.72,13.82
1584,精剛,上櫃,其他,-14.65,-14.88,-10.78,-12.23,-8.11,-9.42,-0.76,2.78,1.1,2.18,-9.88,-43.89,0.07,7.14,-0.71,-0.31,-1.94,-3.3,-4.39,-9.81,-8.95,-16.82,-5.66,-12.37,-5.38,-6.28,-3.94,-7.1,-3.1,-5.11,7.35,2.43,-4.15,0.07,2.41,3.47,8.13,10.5,8.56,5.24
2640,大車隊,上櫃,其他,21.28,23.17,23.0,23.78,21.4,21.84,19.6,19.96,17.17,20.42,16.65,9.88,16.02,12.72,12.83,12.17,16.25,17.56,17.11,14.78,17.77,14.47,16.04,15.74,20.09,19.84,22.28,19.58,17.8,21.29,23.77,20.87,19.67,10.64,10.3,20.5,20.36,15.97,17.46,22.45
5209,新鼎,上櫃,其他,5.19,11.32,13.54,8.11,8.43,7.64,3.03,1.96,6.93,7.28,2.92,6.88,7.8,6.44,8.0,7.91,15.32,9.29,4.95,4.07,5.91,5.68,6.58,5.61,7.48,6.1,5.38,9.9,7.08,6.23,4.49,2.93,3.88,4.59,5.41,1.86,5.13,5.53,7.62,8.13
5345,天揚,上櫃,其他,-16.67,-4.66,-2.55,-2.53,-7.97,-4.84,0.08,-6.32,0.6,-44.63,-11.36,-74.4,-24.14,-33.57,-36.16,-62.79,-87.23,-70.25,-105.48,-147.27,-223.43,-409.21,-491.16,-1909.33,-18607.69,-20012.87,-14150.54,-3369.97,-5591.37,-362.88,-539.66,-215.57,-371.18,-495.66,-391.6,-1634.91,-787.42,-570.85,-1089.23,-812.73
