上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:112/03/29
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"4102","永日","17.61","0.80000000","111","2.75","2.01"
"4105","東洋","18.11","3.40000000","111","4.27","3.50"
"4107","邦特","15.73","4.50000000","111","4.02","2.56"
"4109","加捷生醫","N/A","0.00000000","111","0.00","1.45"
"4111","濟生","10.41","1.20000000","111","4.27","1.31"
"4113","聯上","N/A","0.00000000","111","0.00","1.00"
"4114","健喬","21.47","1.60000000","111","3.48","2.90"
"4116","明基醫","15.17","2.10000000","111","3.43","2.28"
"4120","友華","N/A","0.00000000","111","0.00","1.10"
"4121","優盛","11.82","1.20000000","111","5.05","1.30"
"4123","晟德","269.71","3.89248576","110","8.49","1.42"
"4126","太醫","18.42","4.20000000","111","5.00","2.24"
"4127","天良","12.27","0.00000000","111","0.00","1.54"
"4128","中天","163.41","1.00000000","111","1.49","2.83"
"4129","聯合","18.91","2.50000000","111","4.66","1.58"
"4130","健亞","N/A","0.17500000","111","0.65","2.07"
"4131","晶宇","N/A","0.00000000","111","0.00","6.39"
"4138","曜亞","16.19","4.15000000","111","5.61","1.60"
"4139","馬光-KY","N/A","0.00000000","111","0.00","3.70"
"4147","中裕","N/A","0.00000000","111","0.00","8.58"
"4153","鈺緯","52.59","1.00000000","111","2.24","2.58"
"4154","樂威科-KY","N/A","0.00000000","110","0.00","3.92"
"4157","太景*-KY","N/A","0.00000000","111","0.00","11.15"
"4160","創源","39.19","0.95509397","111","3.29","2.12"
"4161","聿新科","29.50","0.50000000","111","1.69","1.99"
"4162","智擎","50.00","2.00000000","111","1.80","4.12"
"4163","鐿鈦","14.00","4.00000000","111","3.27","2.62"
"4167","松瑞藥","171.82","0.00000000","110","0.00","1.79"
"4168","醣聯","N/A","0.00000000","111","0.00","2.33"
"4171","瑞基","8.32","4.00000000","111","6.55","2.51"
"4173","久裕","22.68","0.65000000","111","3.41","0.76"
"4174","浩鼎","N/A","0.00000000","111","0.00","4.05"
"4175","杏一","18.21","3.85000000","111","4.25","2.49"
"4183","福永生技","17.66","0.70000000","110","3.70","1.46"
"4188","安克","N/A","0.00000000","111","0.00","1.98"
"4192","杏國","N/A","0.00000000","111","0.00","9.24"
"4198","欣大健康","N/A","0.00000000","111","0.00","4.01"
"4205","中華食","26.57","3.00000000","111","2.84","4.96"
"4207","環泰","6.84","1.25000000","110","8.96","1.12"
"4303","信立","N/A","0.00000000","111","0.00","1.43"
"4304","勝昱","2.58","0.00000000","110","0.00","1.61"
"4305","世坤","11.87","2.00000000","111","6.31","1.61"
"4401","東隆興","19.64","0.70000000","111","2.60","1.21"
"4402","福大","N/A","0.00000000","111","0.00","1.83"
"4406","新昕纖","26.50","0.00000000","111","0.00","0.82"
"4413","飛寶企業","9.04","0.50000000","111","3.22","1.40"
"4416","三圓","N/A","2.00000000","111","2.28","2.78"
"4417","金洲","8.49","2.90000000","111","7.12","1.25"
"4419","元勝","N/A","0.00000000","111","0.00","11.54"
"4420","光明","N/A","2.00000000","111","6.78","1.03"
"4430","耀億","134.41","0.50000000","111","2.19","0.63"
"4432","銘旺實","6.77","0.30000000","111","1.30","0.93"
"4433","興采","13.19","1.50000000","111","4.53","0.96"
"4502","健信","N/A","0.00000000","111","0.00","3.17"
"4503","金雨","N/A","0.00000000","111","0.00","3.79"
"4506","崇友","15.43","3.40000000","111","4.60","2.64"
"4510","高鋒","25.11","0.40000000","111","3.46","0.68"
"4513","福裕","N/A","0.00000000","111","0.00","1.73"
"4523","永彰","N/A","0.00000000","111","0.00","2.71"
"4527","方土霖","11.53","2.00000000","111","6.47","1.53"
"4528","江興鍛","15.42","1.30000000","111","3.94","1.20"
"4529","淳紳","N/A","0.00000000","111","0.00","1.12"
"4530","宏易","N/A","0.00000000","111","0.00","1.36"
"4533","協易機","63.06","0.32000000","111","2.82","0.74"
"4534","慶騰","N/A","0.00000000","111","0.00","1.08"
"4535","至興","13.58","2.00000000","111","5.22","1.19"
"4538","大詠城","13.55","1.00000000","111","4.64","1.44"
"4541","晟田","18.61","1.40000000","111","4.18","1.33"
"4542","科嶠","52.35","0.50000000","111","1.87","1.37"
"4543","萬在","11.10","1.20000000","111","4.34","0.95"
"4549","桓達","13.85","5.10000000","111","5.59","2.64"
"4550","長佳","10.74","1.90000000","111","6.25","1.30"
"4554","橙的","23.90","1.00000000","111","3.67","1.45"
"4556","旭然","46.89","0.52000000","111","1.68","1.53"
"4558","寶緯","24.28","1.00000000","111","3.29","1.63"
"4561","健椿","11.63","0.70000000","111","3.12","1.15"
"4563","百德","19.19","0.00000000","111","0.00","1.63"
"4568","科際精密","13.24","3.80000000","111","6.03","1.72"
"4577","達航科技","11.06","1.62992500","111","5.28","1.13"
"4580","捷流閥業","11.22","5.21675322","110","5.67","1.87"
"4584","君帆","13.99","2.00000000","111","3.96","1.56"
"4609","唐鋒","101.50","0.00000000","111","0.00","1.91"
"4702","中美實","8.69","0.00000000","111","0.00","0.89"
"4706","大恭","26.72","0.60000000","111","3.51","0.91"
"4707","磐亞","11.27","0.90000000","111","7.00","0.80"
"4711","永純","N/A","0.50000000","111","3.33","0.86"
"4712","南璋","N/A","0.00000000","110","0.00","5.82"
"4714","永捷","N/A","0.00000000","111","0.00","1.03"
"4716","大立","N/A","0.00000000","111","0.00","0.99"
"4721","美琪瑪","20.73","4.60000000","111","4.36","5.27"
"4726","永昕","N/A","0.00000000","111","0.00","2.62"
"4728","雙美","15.18","4.40000000","110","3.12","6.40"
"4729","熒茂","23.29","0.50000000","111","3.07","1.18"
"4735","豪展","14.18","2.00027200","111","5.13","1.57"
"4736","泰博","5.16","20.00000000","111","10.75","1.83"
